"covariateId","covariateName","analysisId","conceptId","covariateValue"
4041008102,"condition_occurrence during day -365 through 0 days relative to index: G2 grade",102,4041008,1.58525586269934
4127611102,"condition_occurrence during day -365 through 0 days relative to index: Tumor stage T2b",102,4127611,-1.44122915600712
2000000013802,"observation during day -365 through 0 days relative to index: Biopsy or assessment recommended",802,2000000013,-1.1045370428607
4264742102,"condition_occurrence during day -365 through 0 days relative to index: G3 grade",102,4264742,0.995440658636444
44811374802,"observation during day -365 through 0 days relative to index: Not eligible for participation in research study",802,44811374,-0.905988855469238
2000000008802,"observation during day -365 through 0 days relative to index: Assigned to control trial arm",802,2000000008,-0.803564903955874
4204361102,"condition_occurrence during day -365 through 0 days relative to index: G1 grade",102,4204361,0.674006780844081
4266674102,"condition_occurrence during day -365 through 0 days relative to index: N0 category",102,4266674,-0.590388475648373
35930757102,"condition_occurrence during day -365 through 0 days relative to index: Grade Group 2: Gleason score 7|Gleason pattern 3+4",102,35930757,-0.568134855494998
4130416102,"condition_occurrence during day -365 through 0 days relative to index: Tumor stage T3b",102,4130416,-0.548680937019231
3051506702,"measurement during day -365 through 0 days relative to index: XR Bones Survey Views for metastasis",702,3051506,0.418346715776825
4129918102,"condition_occurrence during day -365 through 0 days relative to index: Tumor stage T3a",102,4129918,0.406162758018439
4129919102,"condition_occurrence during day -365 through 0 days relative to index: Tumor stage T3c",102,4129919,0.399500566448993
4195718102,"condition_occurrence during day -365 through 0 days relative to index: NX category",102,4195718,0.384996789952115
3040854702,"measurement during day -365 through 0 days relative to index: SPECT Bone",702,3040854,0.303479157424554
4205430102,"condition_occurrence during day -365 through 0 days relative to index: M1 category",102,4205430,0.247679973917072
35928355102,"condition_occurrence during day -365 through 0 days relative to index: Grade Group 5: Gleason score 9 or 10",102,35928355,-0.2018332970247
4098852102,"condition_occurrence during day -365 through 0 days relative to index: MX category",102,4098852,-0.142918922214209
35921496102,"condition_occurrence during day -365 through 0 days relative to index: Grade Group 4: Gleason score 8",102,35921496,-0.0618510093403323
4127612102,"condition_occurrence during day -365 through 0 days relative to index: Tumor stage T4a",102,4127612,-0.0552791416932186
1903,"CHADS2",903,0,-0.0508110308833435
2000000195102,"condition_occurrence during day -365 through 0 days relative to index: Death definitely due to prostate cancer",102,2000000195,0
35934087102,"condition_occurrence during day -365 through 0 days relative to index: Grade Group 1: Gleason score less than or equal to 6",102,35934087,0
4129127102,"condition_occurrence during day -365 through 0 days relative to index: Tumor stage T2c",102,4129127,0
4239307102,"condition_occurrence during day -365 through 0 days relative to index: N3 category",102,4239307,0
4129917102,"condition_occurrence during day -365 through 0 days relative to index: Tumor stage T2a",102,4129917,0
4203608102,"condition_occurrence during day -365 through 0 days relative to index: N1 category",102,4203608,0
4129126102,"condition_occurrence during day -365 through 0 days relative to index: Tumor stage T1b",102,4129126,0
2000000194102,"condition_occurrence during day -365 through 0 days relative to index: Death probably due to prostate cancer",102,2000000194,0
2000000189102,"condition_occurrence during day -365 through 0 days relative to index: Intercurrent death",102,2000000189,0
2000000193102,"condition_occurrence during day -365 through 0 days relative to index: Death possibly due to prostate cancer",102,2000000193,0
4149726102,"condition_occurrence during day -365 through 0 days relative to index: M0 category",102,4149726,0
4129920102,"condition_occurrence during day -365 through 0 days relative to index: Tumor stage T4b",102,4129920,0
4129916102,"condition_occurrence during day -365 through 0 days relative to index: Tumor stage T1c",102,4129916,0
2000000192102,"condition_occurrence during day -365 through 0 days relative to index: Intercurrent death but prostate cancer has a contributory role",102,2000000192,0
1904,"CHADS2VASc",904,0,0
44793131000706,"measurement value during day -365 through 0 days relative to index: Total prostate specific antigen level (Unknown unit)",706,44793131,0
2617205702,"measurement during day -365 through 0 days relative to index: Prostate cancer screening; digital rectal examination",702,2617205,0
3001108702,"measurement during day -365 through 0 days relative to index: US Prostate transrectal",702,3001108,0
44793131702,"measurement during day -365 through 0 days relative to index: Total prostate specific antigen level",702,44793131,0
2000000007802,"observation during day -365 through 0 days relative to index: Assigned to intervention trial arm",802,2000000007,0
44802632802,"observation during day -365 through 0 days relative to index: Invitation to participate in clinical trial",802,44802632,0
4268703802,"observation during day -365 through 0 days relative to index: Biopsy finding",802,4268703,0
2000000197802,"observation during day -365 through 0 days relative to index: Consent withdrawn",802,2000000197,0
4339403502,"procedure_occurrence during day -365 through 0 days relative to index: Transrectal biopsy of prostate",502,4339403,0
1002,"age in years",2,0,0
